date,AAPL,ABT,AMD,BAC,BBY,BMY,COP,CVX,GE,HD,JNJ,JPM,KO,LLY,MMM,NVDA,PEP,UNH,WMT,XOM,ANET,AVGO,CEG,ETN,SMCI,TSM,VRT,VST,TFC,USB,WFC
2025-12-01,283.32000732421875,128.07000732421875,219.8300018310547,53.2599983215332,77.2300033569336,49.18999862670898,90.3000030517578,152.5500030517578,288.5299987792969,357.3999938964844,,308.989990234375,72.0,1058.0899658203125,170.52999877929688,179.99000549316406,149.5399932861328,323.3599853515625,111.63999938964844,116.66000366210938,128.1699981689453,386.1400146484375,359.1199951171875,339.7300109863281,33.40999984741211,287.760009765625,179.25,173.63999938964844,46.58000183105469,49.43000030517578,85.41999816894531
2025-12-02,286.2300109863281,126.3000030517578,,53.165000915527344,,,89.29000091552734,150.1999969482422,289.2900085449219,354.0010070800781,205.33999633789065,307.8900146484375,70.66000366210938,,171.50999450683594,181.3600006103516,148.58999633789062,324.56500244140625,112.41000366210938,,127.1999969482422,381.4700012207031,363.6400146484375,,32.900001525878906,292.1000061035156,181.009994506836,172.5800018310547,46.459999084472656,49.68000030517578,86.32499694824219
2025-12-03,284.1499938964844,,217.58999633789065,,,50.98500061035156,,151.63999938964844,288.489990234375,357.9100036621094,205.3300018310547,312.1499938964844,70.80999755859375,1033.550048828125,173.09500122070312,179.63999938964844,148.05999755859375,339.7749938964844,114.44499969482422,117.8249969482422,127.79000091552734,380.6199951171875,361.4500122070313,335.6700134277344,33.66999816894531,295.4700012207031,178.88999938964844,171.66000366210938,47.41999816894531,50.93000030517578,89.36000061035156
2025-12-04,280.6499938964844,125.4000015258789,216.0,54.150001525878906,74.05500030517578,51.98500061035156,93.13999938964844,152.25999450683594,291.8900146484375,351.1600036621094,202.47999572753903,316.1300048828125,70.44999694824219,1014.27001953125,169.27499389648438,183.3999938964844,146.89999389648438,333.510009765625,114.83999633789062,117.13999938964844,128.60000610351562,381.2000122070313,368.6700134277344,338.7900085449219,34.25,292.92999267578125,182.5599975585937,176.1199951171875,47.52999877929688,51.375,90.20999908447266
2025-12-05,278.7900085449219,125.02999877929688,217.9100036621093,53.900001525878906,74.16500091552734,52.14500045776367,93.69000244140624,149.9600067138672,283.8999938964844,354.5799865722656,201.9100036621093,,69.9749984741211,,167.4499969482422,182.3500061035156,145.0399932861328,330.79998779296875,115.11000061035156,116.5199966430664,128.56500244140625,390.1600036621094,359.82000732421875,337.6000061035156,34.69499969482422,294.70001220703125,188.97999572753903,167.13999938964844,47.525001525878906,51.255001068115234,89.83000183105469
2025-12-08,277.9599914550781,122.09500122070312,221.0500030517578,53.900001525878906,72.55000305175781,51.70500183105469,92.88999938964844,148.7100067138672,287.2200012207031,349.94000244140625,201.67999267578125,315.2900085449219,,997.75,163.9600067138672,185.5800018310547,145.63999938964844,323.5299987792969,113.59500122070312,115.98999786376952,129.14999389648438,401.1795043945313,357.6600036621094,343.45001220703125,35.380001068115234,301.8999938964844,185.69000244140625,166.11000061035156,47.70500183105469,51.435001373291016,90.06500244140625
2025-12-09,277.2300109863281,121.2300033569336,221.5599975585937,53.54999923706055,73.17500305175781,,93.44000244140624,148.5449981689453,285.32501220703125,345.3450012207031,200.0,,70.11499786376953,982.1500244140624,165.1300048828125,184.97000122070312,144.6300048828125,323.6400146484375,115.08999633789062,118.23999786376952,130.0500030517578,406.3299865722656,359.20001220703125,341.75,35.040000915527344,303.5899963378906,178.31500244140625,164.8300018310547,47.91999816894531,51.58000183105469,88.92500305175781
2025-12-10,278.7200012207031,122.5500030517578,221.4199981689453,54.09999847412109,74.12000274658203,51.21500015258789,96.79000091552734,151.40499877929688,283.54998779296875,351.135009765625,206.5800018310547,310.1199951171875,70.2249984741211,993.3499755859376,165.6999969482422,183.77999877929688,149.69000244140625,328.29998779296875,113.15299987792967,119.52999877929688,132.41000366210938,412.8500061035156,362.1000061035156,353.4700012207031,34.91999816894531,310.1199951171875,181.77999877929688,165.21499633789062,49.560001373291016,53.55500030517578,90.69000244140624
2025-12-11,278.0599975585937,123.29000091552734,221.4499969482422,54.57989883422852,74.97000122070312,51.20000076293945,96.72000122070312,150.72999572753906,288.4599914550781,357.5199890136719,210.08999633789065,317.4649963378906,69.12000274658203,1009.1400146484376,168.61000061035156,180.9355010986328,149.10000610351562,336.739990234375,115.54499816894533,119.5500030517578,134.39999389648438,406.9800109863281,378.5499877929688,350.3500061035156,34.02000045776367,304.8699951171875,178.6699981689453,174.63999938964844,49.709999084472656,53.59999847412109,92.62000274658205
2025-12-12,278.3699951171875,125.45999908447266,210.8000030517578,55.15499877929688,73.43000030517578,52.43000030517578,95.54499816894533,149.97999572753906,299.92999267578125,359.6300048828125,211.6100006103516,318.6099853515625,70.54000091552734,,168.86000061035156,174.99000549316406,150.64999389648438,341.82000732421875,116.6999969482422,118.81999969482422,124.7699966430664,359.8999938964844,352.1000061035156,331.94000244140625,32.33000183105469,292.1400146484375,161.22999572753906,170.10000610351562,49.90999984741211,53.435001373291016,92.7782974243164
2025-12-15,,128.50999450683594,207.5800018310547,,72.87999725341797,54.29499816894531,94.36000061035156,149.83999633789062,300.9800109863281,356.989990234375,214.259994506836,,70.9749984741211,1062.0899658203125,165.64999389648438,176.22999572753906,151.21499633789062,341.04998779296875,116.8000030517578,117.73999786376952,125.88999938964844,339.8500061035156,357.1300048828125,,31.3700008392334,287.75,161.61000061035156,,49.7599983215332,53.71500015258789,
2025-12-16,,126.86000061035156,209.0399932861328,54.77999877929688,72.61000061035156,,90.77999877929688,146.72500610351562,298.67999267578125,352.6700134277344,,315.5299987792969,70.37999725341797,1054.0999755859375,163.19000244140625,177.50999450683594,150.3300018310547,334.0599975585937,115.37999725341795,114.66000366210938,126.11000061035156,341.0400085449219,365.6700134277344,329.9100036621094,31.655000686645508,286.9200134277344,160.57000732421875,173.42999267578125,49.70000076293945,53.470001220703125,92.18499755859376
2025-12-17,271.8599853515625,126.69499969482422,,54.52999877929688,71.44999694824219,53.584999084472656,94.98999786376952,,292.1300048828125,356.760009765625,210.38999938964844,314.9949951171875,70.66500091552734,1041.6099853515625,162.16000366210938,170.9199981689453,150.08999633789062,331.5,115.66999816894533,117.4250030517578,122.37000274658205,326.1300048828125,340.9700012207031,315.8099975585937,29.850000381469727,276.94000244140625,149.77000427246094,160.1300048828125,50.150001525878906,53.7599983215332,92.58999633789062
2025-12-18,272.1600036621094,125.0999984741211,200.97999572753903,54.22999954223633,71.76000213623047,,92.2300033569336,147.6999969482422,301.69000244140625,355.0299987792969,208.3099975585937,313.010009765625,,1056.8699951171875,161.77000427246094,174.00999450683594,149.33999633789062,327.9700012207031,114.83999633789062,116.55999755859376,124.5999984741211,329.70001220703125,361.0950012207031,316.0,29.3799991607666,284.8099975585937,154.35000610351562,166.1699981689453,49.935001373291016,53.869998931884766,91.49500274658205
2025-12-19,273.6700134277344,125.4250030517578,213.5,55.2400016784668,,54.19499969482422,91.91500091552734,147.6999969482422,307.1499938964844,345.0740051269531,206.42999267578125,317.1099853515625,70.08999633789062,1070.550048828125,161.92999267578125,180.9900054931641,148.17999267578125,327.4100036621094,114.4499969482422,116.66000366210938,131.16000366210938,340.5050048828125,355.2799987792969,317.6499938964844,31.13999938964844,288.8699951171875,159.81500244140625,162.97000122070312,50.08000183105469,54.15499877929688,92.98999786376952
2025-12-22,270.82000732421875,125.19000244140624,215.0,55.84999847412109,,54.63999938964844,93.30999755859376,149.75999450683594,314.70001220703125,346.489990234375,207.2700042724609,323.1300048828125,70.19499969482422,1076.1099853515625,159.98500061035156,183.6100006103516,147.05999755859375,325.1300048828125,112.56999969482422,118.11000061035156,130.7100067138672,341.3900146484375,357.6400146484375,320.3399963378906,31.06999969482422,293.2200012207031,166.2899932861328,161.50999450683594,50.560001373291016,54.8650016784668,94.26499938964844
2025-12-23,272.239990234375,124.5500030517578,214.8699951171875,55.959999084472656,69.56500244140625,54.27000045776367,92.75,150.5,315.5899963378906,344.9800109863281,205.7400054931641,325.8399963378906,69.8550033569336,1071.0400390625,160.14999389648438,189.2100067138672,143.67999267578125,324.6600036621094,110.86000061035156,119.37999725341795,131.30999755859375,349.33599853515625,361.3900146484375,322.7749938964844,30.768999099731445,297.0400085449219,166.25999450683594,161.63999938964844,50.494998931884766,54.4900016784668,94.44499969482422
2025-12-26,273.25,124.8499984741211,214.8999938964844,56.18999862670898,69.61900329589844,54.665000915527344,91.54000091552734,150.05499267578125,315.2099914550781,349.82501220703125,207.6300048828125,327.94000244140625,69.87999725341797,1077.52001953125,162.0850067138672,190.5399932861328,143.77099609375,331.8699951171875,111.73999786376952,119.11499786376952,131.85000610351562,352.17999267578125,360.3949890136719,322.2799987792969,30.6200008392334,302.9599914550781,167.61000061035156,161.67999267578125,50.6150016784668,54.9900016784668,95.2750015258789
2025-12-29,273.79901123046875,124.61000061035156,215.6499938964844,55.34999847412109,67.83000183105469,54.119998931884766,,151.00999450683594,311.5799865722656,347.4200134277344,207.6000061035156,323.760009765625,70.15499877929688,1079.47998046875,161.74000549316406,188.22999572753903,144.22999572753906,328.9100036621094,112.5500030517578,120.5500030517578,134.17999267578125,349.2699890136719,,321.45001220703125,30.07999992370605,301.0,165.6300048828125,161.82000732421875,50.0099983215332,54.505001068115234,94.54499816894533
2025-12-30,272.989990234375,125.81500244140624,215.32000732421875,55.27999877929688,67.87999725341797,54.22499847412109,94.1500015258789,152.3300018310547,311.8299865722656,346.4100036621094,206.94000244140625,,70.0999984741211,1080.050048828125,161.19000244140625,187.5500030517578,144.1300048828125,332.20001220703125,111.91000366210938,,132.4499969482422,349.9200134277344,356.82000732421875,320.8800048828125,29.63999938964844,299.7699890136719,164.3300018310547,162.63999938964844,49.58000183105469,54.3125,94.3550033569336
2025-12-31,271.8399963378906,125.27999877929688,214.17999267578125,,66.93000030517578,53.95000076293945,93.5999984741211,152.39999389648438,308.0400085449219,344.1300048828125,206.97999572753903,322.32000732421875,69.93000030517578,1075.050048828125,160.11000061035156,186.4900054931641,143.5,330.1849975585937,111.4000015258789,120.33499908447266,130.99000549316406,346.0899963378906,353.2699890136719,318.489990234375,29.25,303.864990234375,161.94000244140625,161.33999633789062,49.220001220703125,53.3650016784668,93.2249984741211
2026-01-02,270.9800109863281,124.19000244140624,223.44000244140625,55.96500015258789,69.18000030517578,53.47999954223633,96.6999969482422,155.8699951171875,320.75,345.79998779296875,207.3699951171875,325.44000244140625,69.11000061035156,1080.3499755859375,161.80999755859375,188.8099060058593,142.24000549316406,336.3900146484375,112.75,122.63999938964844,133.61000061035156,347.5899963378906,366.1799926757813,327.260009765625,30.9689998626709,319.6600036621094,175.57000732421875,165.22999572753906,49.7400016784668,53.91999816894531,95.19499969482422
2026-01-05,267.260009765625,126.47000122070312,221.0599975585937,56.88999938964844,70.05999755859375,53.060001373291016,99.26000213623048,164.02999877929688,324.3500061035156,344.1400146484375,204.3099975585937,334.07000732421875,67.97000122070312,1041.5,163.58999633789062,188.1100006103516,139.91000366210938,342.1000061035156,112.6999969482422,125.39299774169922,137.1750030517578,343.3599853515625,355.0,322.260009765625,30.075000762939453,322.2749938964844,174.0500030517578,163.00999450683594,50.5,55.5,96.41000366210938
2026-01-06,262.42498779296875,127.80500030517578,214.6100006103516,57.23500061035156,72.16999816894531,54.43999862670898,97.04000091552734,156.65499877929688,327.57000732421875,349.2900085449219,204.7850036621093,334.69000244140625,,1063.949951171875,166.13999938964844,187.25,139.0,349.010009765625,114.37999725341795,121.12000274658205,,343.739990234375,,333.0400085449219,30.49860000610352,327.3900146484375,174.92999267578125,169.52000427246094,51.18999862670898,56.07500076293945,96.3000030517578
2026-01-07,260.3599853515625,127.03500366210938,210.0,55.63999938964844,,56.720001220703125,93.9800033569336,155.1929931640625,323.6050109863281,349.19000244140625,207.47999572753903,327.0199890136719,67.52999877929688,1108.1099853515625,162.88999938964844,189.2400054931641,137.0,341.7900085449219,112.72000122070312,118.49500274658205,130.0399932861328,343.5,,322.6000061035156,30.01000022888184,318.7699890136719,171.50999450683594,154.60000610351562,50.58000183105469,54.875,94.27999877929688
2026-01-08,259.0599975585937,126.18000030517578,,56.14500045776367,71.80500030517578,55.90999984741211,98.7300033569336,159.27000427246094,314.3999938964844,359.5199890136719,,329.80499267578125,69.36499786376953,1084.6600341796875,165.24000549316406,185.1300048828125,139.375,346.7900085449219,113.06500244140624,122.91000366210938,123.69000244140624,332.4100036621094,,320.5799865722656,29.876100540161133,318.07000732421875,160.8000030517578,150.60000610351562,50.94499969482422,55.52999877929688,95.58499908447266
2026-01-09,,125.91000366210938,,55.810001373291016,70.58999633789062,55.8650016784668,97.5,162.13999938964844,321.6499938964844,,204.3699951171875,329.2200012207031,70.52999877929688,1063.5699462890625,165.17999267578125,184.8500061035156,139.8800048828125,344.07000732421875,114.52999877929688,124.61000061035156,122.88500213623048,344.9700012207031,342.5,324.5199890136719,30.1299991607666,323.6300048828125,163.61000061035156,166.40499877929688,50.6150016784668,55.220001220703125,95.94000244140624
