,AAPL,ABT,AMD,ANET,AVGO,BAC,BBY,BMY,CEG,COP,CVX,ETN,GE,HD,JPM,KO,LLY,MMM,NVDA,PEP,SMCI,TFC,TSM,UNH,USB,VRT,VST,WFC,WMT,XOM,JNJ
2025-12-01,283.32000732421875,128.07000732421875,219.8300018310547,128.1699981689453,386.1400146484375,53.2599983215332,77.2300033569336,49.18999862670898,359.1199951171875,90.3000030517578,152.5500030517578,339.7300109863281,288.5299987792969,357.3999938964844,308.989990234375,72.0,1058.0899658203125,170.52999877929688,179.99000549316406,149.5399932861328,33.40999984741211,46.58000183105469,287.760009765625,323.3599853515625,49.43000030517578,179.25,173.63999938964844,85.41999816894531,111.63999938964844,116.66000366210938,
2025-12-02,286.2300109863281,126.3000030517578,,127.1999969482422,381.4700012207031,53.165000915527344,,,363.6400146484375,89.29000091552734,150.1999969482422,,289.2900085449219,354.0010070800781,307.8900146484375,70.66000366210938,,171.50999450683594,181.3600006103516,148.58999633789062,32.900001525878906,46.459999084472656,292.1000061035156,324.56500244140625,49.68000030517578,181.00999450683597,172.5800018310547,86.32499694824219,112.41000366210938,,205.33999633789065
2025-12-03,284.1499938964844,,217.58999633789065,127.79000091552734,380.6199951171875,,,50.98500061035156,361.4500122070313,,151.63999938964844,335.6700134277344,288.489990234375,357.9100036621094,312.1499938964844,70.80999755859375,1033.550048828125,173.09500122070312,179.63999938964844,148.05999755859375,33.66999816894531,47.41999816894531,295.4700012207031,339.7749938964844,50.93000030517578,178.88999938964844,171.66000366210938,89.36000061035156,114.44499969482422,117.8249969482422,205.3300018310547
2025-12-04,280.6499938964844,125.4000015258789,216.0,128.60000610351562,381.2000122070313,54.150001525878906,74.05500030517578,51.98500061035156,368.6700134277344,93.13999938964844,152.25999450683594,338.7900085449219,291.8900146484375,351.1600036621094,316.1300048828125,70.44999694824219,1014.27001953125,169.27499389648438,183.3999938964844,146.89999389648438,34.25,47.52999877929688,292.92999267578125,333.510009765625,51.375,182.55999755859372,176.1199951171875,90.20999908447266,114.83999633789062,117.13999938964844,202.47999572753903
2025-12-05,278.7900085449219,125.02999877929688,217.91000366210935,128.56500244140625,390.1600036621094,53.900001525878906,74.16500091552734,52.14500045776367,359.82000732421875,93.69000244140624,149.9600067138672,337.6000061035156,283.8999938964844,354.5799865722656,,69.9749984741211,,167.4499969482422,182.3500061035156,145.0399932861328,34.69499969482422,47.525001525878906,294.70001220703125,330.79998779296875,51.255001068115234,188.97999572753903,167.13999938964844,89.83000183105469,115.11000061035156,116.5199966430664,201.91000366210935
2025-12-08,277.9599914550781,122.09500122070312,221.0500030517578,129.14999389648438,401.1795043945313,53.900001525878906,72.55000305175781,51.70500183105469,357.6600036621094,92.88999938964844,148.7100067138672,343.45001220703125,287.2200012207031,349.94000244140625,315.2900085449219,,997.75,163.9600067138672,185.5800018310547,145.63999938964844,35.380001068115234,47.70500183105469,301.8999938964844,323.5299987792969,51.435001373291016,185.69000244140625,166.11000061035156,90.06500244140625,113.59500122070312,115.98999786376952,201.67999267578125
2025-12-09,277.2300109863281,121.2300033569336,221.55999755859372,130.0500030517578,406.3299865722656,53.54999923706055,73.17500305175781,,359.20001220703125,93.44000244140624,148.5449981689453,341.75,285.32501220703125,345.3450012207031,,70.11499786376953,982.1500244140624,165.1300048828125,184.97000122070312,144.6300048828125,35.040000915527344,47.91999816894531,303.5899963378906,323.6400146484375,51.58000183105469,178.31500244140625,164.8300018310547,88.92500305175781,115.08999633789062,118.23999786376952,200.0
2025-12-10,278.7200012207031,122.5500030517578,221.4199981689453,132.41000366210938,412.8500061035156,54.09999847412109,74.12000274658203,51.21500015258789,362.1000061035156,96.79000091552734,151.40499877929688,353.4700012207031,283.54998779296875,351.135009765625,310.1199951171875,70.2249984741211,993.3499755859376,165.6999969482422,183.77999877929688,149.69000244140625,34.91999816894531,49.560001373291016,310.1199951171875,328.29998779296875,53.55500030517578,181.77999877929688,165.21499633789062,90.69000244140624,113.15299987792967,119.52999877929688,206.5800018310547
2025-12-11,278.0599975585937,123.29000091552734,221.4499969482422,134.39999389648438,406.9800109863281,54.57989883422852,74.97000122070312,51.20000076293945,378.5499877929688,96.72000122070312,150.72999572753906,350.3500061035156,288.4599914550781,357.5199890136719,317.4649963378906,69.12000274658203,1009.1400146484376,168.61000061035156,180.9355010986328,149.10000610351562,34.02000045776367,49.709999084472656,304.8699951171875,336.739990234375,53.59999847412109,178.6699981689453,174.63999938964844,92.62000274658205,115.54499816894533,119.5500030517578,210.08999633789065
2025-12-12,278.3699951171875,125.45999908447266,210.8000030517578,124.7699966430664,359.8999938964844,55.15499877929688,73.43000030517578,52.43000030517578,352.1000061035156,95.54499816894533,149.97999572753906,331.94000244140625,299.92999267578125,359.6300048828125,318.6099853515625,70.54000091552734,,168.86000061035156,174.99000549316406,150.64999389648438,32.33000183105469,49.90999984741211,292.1400146484375,341.82000732421875,53.435001373291016,161.22999572753906,170.10000610351562,92.7782974243164,116.6999969482422,118.81999969482422,211.6100006103516
